,country,year,swiid_market,swiid_mrkt_bott50,swiid_mrkt_top10,swiid_dsp,swiid_dsp_bott50,swiid_dsp_top10,gini_coeff,s80s20,palma,fin_lib,gfc,fin_dev_prcrdt,fin_dev_dep,gdp_per,trade,pop,infl,gdp_grth,agri,ind,nat_res,edu_exp,edu_prime,edu_sec,edu_ter,life_exp,net_barter,fdi,cap_for,gvt_cs,unemp,curcri,kaopen,civ_lib,exprty,trade_glob,legor_so,legor_ge,bank_prcrdt,all_prcrdt,bank_share_prcrdt,bank_asgdp,fin_dep,bank_share_dep,net_int,bank_roa,bank_roe,bank_con,ins_asset,life_ins,nonlife_ins,stock_mrkt,stock_trade,private_penfunds,mutual_funds,fdi_dollar,equity_dollar
30,North Macedonia,2013,55.721,54.9,57.135,34.007,33.612,34.383,37.613,7.472,1.604,7.472,0,46.663,46.466,4530.684,104.857,2064032,2.785,2.925,10.027,22.14,1.129,3.269,90.288,77.373,38.575,75.4,91.501,3.72,23.784,17.505,29.14,0,-0.033,3,0,69.006,1,0,45.931,46.194,99,53.171,46.466,100,4.744,0.821,6.645,67.803,2.766,0.145,1.15,,,608.074,,402458309.806,-687297.19
31,North Macedonia,2014,55.544,54.721,57.07,33.501,33.1,34.24,36.158,6.692,1.479,7.565,0,49.448,46.527,4687.298,112.538,2067471,-0.282,3.629,10.178,22.823,1.186,3.269,92.243,76.078,38.781,75.451,93.868,0.536,23.491,17.112,28.38,0,-0.033,3,0,71.645,1,0,46.971,47.622,99,54.037,46.527,100,4.265,0.858,6.946,66.7,3.101,0.168,1.135,,,664.201,,60879915.451,-4025006.51
32,North Macedonia,2015,55.529,54.434,57.063,33.044,32.591,33.34,35.246,6.347,1.405,7.592,0,51.053,47.445,4861.556,113.698,2070226,-0.3,3.856,9.727,23.922,0.935,3.269,95.641,76.698,41.061,75.402,100.0,2.947,23.907,16.976,26.43,0,-0.033,3,0,71.353,1,0,48.71,49.657,98,55.371,47.445,100,4.166,1.144,9.251,65.821,3.142,0.197,1.144,,,723.775,0.516,296604200.381,-9373843.702
33,North Macedonia,2016,55.256,54.267,56.79,32.541,32.123,32.681,35.119,6.326,1.396,7.592,0,48.12,47.426,4994.561,116.185,2072490,-0.239,2.848,9.173,23.963,0.866,3.269,,,,75.4,99.412,5.148,24.444,15.43,24.3,0,-0.033,3,0,71.602,1,0,47.901,48.802,98,54.263,47.426,100,4.155,1.542,12.29,64.775,3.107,0.216,1.091,,,841.459,0.609,549371101.551,-7621115.072
34,Serbia,2000,48.786,48.676,49.794,32.089,32.285,32.168,32.086,4.259,1.255,5.72,0,45.701,7.338,3193.259,22.492,7516346,71.121,6.132,17.07,35.293,2.333,4.39,98.148,86.901,,71.583,,0.412,12.202,19.342,12.6,1,,0,1,44.03,0,1,24.843,24.843,100,31.175,7.338,100,0.578,0.616,4.898,88.48,,0.011,1.919,,0.162,,,,
35,Serbia,2001,49.437,49.37,50.354,32.815,33.052,32.556,28.076,3.615,1.03,5.72,0,31.388,9.562,3418.79,56.548,7503433,95.005,6.879,14.653,32.884,1.502,4.39,102.13,89.08,37.664,72.234,,1.066,12.203,21.506,12.8,0,,0,1,44.18,0,1,28.434,28.434,100,32.585,9.562,100,2.34,-0.158,-1.647,64.694,,0.019,2.115,,0.432,,,,
36,Serbia,2002,50.11,50.139,50.981,33.441,33.659,33.424,29.89,4.049,1.113,5.72,0,16.179,11.812,3640.275,56.866,7496522,19.491,6.38,9.767,31.726,0.629,4.39,101.537,88.0,35.624,72.285,,2.648,15.118,24.047,13.8,0,,0,0,44.416,0,1,20.758,20.758,100,21.371,11.812,100,6.324,-4.79,-25.671,55.358,3.011,0.025,2.015,,0.653,,,,
37,Serbia,2003,50.432,50.38,51.395,34.141,34.475,33.559,31.704,4.574,1.206,5.72,0,17.78,14.136,3808.094,61.17,7480591,9.876,4.388,8.085,30.002,0.536,4.39,100.548,87.444,39.54,72.437,,5.517,17.147,24.187,15.2,0,,0,0,44.596,0,1,15.664,15.664,100,16.982,14.136,100,8.147,1.493,6.381,52.896,2.835,0.073,1.82,6.461,1.595,,,,
38,Serbia,2004,50.716,50.526,51.661,34.624,34.854,34.129,33.518,5.225,1.31,5.72,0,21.841,16.149,4161.595,74.23,7463157,11.026,9.028,8.53,30.282,1.754,4.39,100.697,87.024,40.923,72.683,,3.387,19.541,22.634,18.5,0,,0,0,58.749,0,1,18.236,18.236,100,20.369,16.149,100,7.088,-1.946,-9.058,42.374,2.018,0.105,1.312,9.193,2.017,,,,
39,Serbia,2005,50.668,50.502,51.728,34.874,35.078,34.336,35.332,6.052,1.429,7.148,0,27.856,19.108,4404.96,73.017,7440769,16.12,5.53,6.739,29.141,1.243,4.39,101.391,87.723,44.03,72.834,,6.59,19.437,19.512,20.85,0,,0,0,61.741,0,1,22.9,22.9,100,25.313,19.108,100,7.534,0.591,3.112,44.979,2.512,0.165,1.618,18.4,2.006,,,,
40,Serbia,2006,49.989,49.814,50.802,34.545,34.689,34.311,37.146,7.137,1.564,7.098,0,27.863,23.431,4648.197,76.908,7411569,11.724,5.108,6.818,28.737,1.501,4.39,100.228,88.038,46.549,73.385,,13.495,21.201,20.389,20.85,0,,0,0,61.933,0,1,26.082,26.082,100,28.191,23.431,100,8.385,1.832,9.595,41.745,2.572,0.177,1.499,37.391,3.778,,,,
41,Serbia,2007,50.197,50.127,50.594,33.981,34.088,34.021,36.489,6.856,1.508,7.498,1,34.077,28.696,4967.62,75.605,7381579,6.392,6.44,6.119,28.201,1.554,4.39,98.93,88.611,47.68,73.632,,10.246,23.77,20.736,18.06,0,,2,0,63.323,0,1,28.747,28.747,100,30.31,28.696,100,7.834,1.859,8.899,40.106,2.798,0.21,1.498,58.327,6.057,56.895,,4423192680.119,764179165.456
42,Serbia,2008,50.338,50.267,50.699,33.421,33.471,33.697,35.831,6.592,1.454,7.358,1,39.01,31.524,5270.958,78.679,7350222,12.411,5.656,7.445,27.608,2.851,4.65,99.425,89.454,48.199,73.885,95.304,7.771,23.707,20.125,13.7,0,,2,0,64.021,0,1,34.468,34.468,100,35.896,31.524,100,7.84,1.614,7.108,39.929,2.916,0.231,1.48,48.577,4.664,74.113,,4055798181.801,-54673162.36
43,Serbia,2009,50.568,50.454,50.688,33.367,33.364,33.812,35.173,6.345,1.402,7.188,0,42.55,35.098,5147.569,66.022,7320807,8.117,-2.732,7.201,24.902,1.294,4.7,97.878,90.622,49.076,73.985,98.148,6.486,18.694,19.514,16.14,0,,2,0,66.221,0,1,40.597,40.597,100,44.322,35.098,100,6.964,0.744,3.357,38.358,3.25,0.274,1.404,32.241,2.002,108.235,,2929226709.603,23051033.696
44,Serbia,2010,50.908,50.786,50.631,33.407,33.347,33.834,34.515,6.112,1.352,6.882,0,50.008,38.273,5206.087,76.731,7291436,6.143,0.731,6.602,25.287,2.511,4.58,96.909,90.462,48.491,74.337,97.879,4.049,17.676,19.139,19.22,0,,2,0,71.361,0,1,44.706,44.706,100,51.964,38.273,100,5.667,0.795,4.009,35.527,3.602,0.305,1.36,3.686,0.553,125.027,,1693250318.851,84429250.248
45,Serbia,2011,51.05,50.9,50.872,33.651,33.61,33.859,35.253,6.271,1.412,6.805,0,47.563,39.401,5354.2,78.809,7234099,11.137,2.036,7.445,26.661,3.35,4.48,96.304,90.275,49.912,74.537,97.067,10.01,17.507,18.942,22.97,0,,2,0,70.848,0,1,47.271,47.271,100,56.299,39.401,100,5.401,0.858,4.355,37.94,3.48,0.293,1.213,9.34,0.787,154.493,,4930532020.146,69354681.723
46,Serbia,2012,51.339,51.17,51.647,34.079,34.131,34.224,35.99,6.436,1.474,6.6,0,49.509,40.295,5343.579,85.471,7199077,7.33,-0.682,6.435,27.006,2.775,4.196,101.055,93.033,52.851,74.837,96.638,2.945,20.206,18.974,24.0,0,,2,0,71.866,0,1,47.374,47.374,100,57.799,40.295,100,4.974,0.593,2.91,39.798,3.688,0.331,1.209,17.734,0.695,189.913,,1275339755.628,-23873824.102
47,Serbia,2013,51.635,51.534,51.818,34.224,34.239,34.504,36.728,6.608,1.539,6.652,0,43.566,40.017,5524.968,87.92,7164132,7.694,2.893,7.414,26.84,2.06,4.1,100.484,93.556,55.713,75.185,95.951,4.255,16.474,17.898,22.15,0,,2,0,70.905,0,1,45.004,45.004,100,56.662,40.017,100,5.376,-0.422,-2.047,42.732,3.586,0.363,1.118,,,237.544,0.131,2059297316.504,-40785007.822
